,cluster_0,cluster_1,cluster_2,cluster_3
259,A569C4_3,A19691_5,A929A3_1,A95169_3
260,A56FD9_2,A19A48_1,A95169_1,A95C89_3
261,A571EF_1,A19A48_5,A95C89_1,A95C89_5
262,A57666_3,A19AC7_2,A95C89_2,A96134_1
263,A5772D_2,A1A1B6_1,A95C89_7,A963F7_1
264,A57788_1,A1A1B6_3,A96823_1,A963F7_2
265,A57A1D_6,A1A1B6_5,A96B65_1,A967AE_1
266,A57DD4_2,A1A1B6_7,A96B65_2,A972D3_1
267,A597F2_2,A1A56D_1,A9768A_1,A972D3_3
268,A59B50_1,A1A56D_2,A9768A_2,A98382_2
269,A5B644_1,A1A924_2,A9768A_3,A99719_1
270,A5D478_1,A1A924_3,A9768A_4,A99A52_1
271,A5D478_4,A1A924_4,A9768A_5,A99A52_3
272,A5E6F5_2,A1A924_5,A9768A_6,A9B6E8_1
273,A5F57C_2,A1A924_6,A9768A_7,A9BB45_1
274,A6082F_2,A1A9A3_2,A9768A_8,A9CC7A_1
275,A6082F_4,A1ACCE_1,A98F2D_1,A9FF1E_1
276,A62F85_1,A1ACDB_1,A98F2D_2,AA02D5_1
277,A6322E_2,A1ACDB_2,A98F2D_3,AA0381_1
278,A6331A_2,A1ACDB_3,A98F6F_3,AA06D8_1
279,A6333C_2,A1ACDB_5,A98F6F_4,AA1B9C_1
280,A63864_2,A1ACDB_7,A99719_2,AA1B9C_3
281,A63864_4,A1ACDB_9,A99E09_1,AA1C1F_1
282,A63975_1,A1AD90_2,A99E09_3,AA5D9F_1
283,A63BD4_1,A1AD90_4,A99E09_4,AA60AF_1
284,A63BD4_3,A1AD90_5,A9A153_1,AA6466_1
285,A63F16_1,A1AD90_6,A9A419_1,AA8477_1
286,A63F16_3,A1B092_1,A9A419_2,AA8F1B_1
287,A6465A_3,A1B092_2,A9CA37_3,AA91F5_1
288,A646E5_3,A1B092_4,A9CC7A_3,AA9963_1
289,A65560_2,A1B092_6,A9E67B_1,AA9A0A_1
290,A658F0_1,A1B4E1_1,A9E9AB_1,AAB974_2
291,A65BA7_1,A1BA59_2,AA1935_2,AABA1B_1
292,A6633F_1,A1BA59_3,AA1A6E_1,AAC540_1
293,A66A5D_2,A1BA59_4,AA71E4_2,AAD375_1
294,A67571_2,A1BA59_6,AA8214_1,AAD72C_1
295,A67BD0_1,A1BA59_7,AA84DC_1,AAD72C_3
296,A67FBA_2,A1BC59_1,AAAFAD_2,AADA90_1
297,A6982F_2,A1BD54_2,AAC0E2_1,AAE042_1
298,A6985D_2,A1BE10_1,AAC0E2_2,AAE1F4_9
299,A69939_1,A1BE10_3,AAC338_2,AAEAE6_1
300,A69CB2_1,A1BE10_5,AAC8F7_1,AB2AE2_8
301,A6A382_1,A1BF92_1,AAD375_2,AB7AA2_1
302,A6A45E_3,A1C05D_2,AAD375_3,AB7FF0_9
303,A6AF49_1,A1C05D_3,AAD72C_4,AB9AB3_3
304,A6B86E_1,A1C05D_4,AAD72C_5,ABC8CE_1
305,A6B86E_2,A1C05D_5,AAE2A5_2,ABF002_2
306,A6B94A_2,A1C05D_6,AB0195_3,AC071F_1
307,A6BC25_1,A1C05D_7,AB0FE4_1,AC1C2F_1
308,A6BD01_3,A1C57E_2,AB140A_1,AC2C49_3
309,A6BFDC_3,A1C57E_4,AB318C_1,AC3B24_8
310,A6BFDC_4,A1C599_1,AB4849_1,AC442A_1
311,A6C46F_3,A1C5FD_1,AB55F2_1,AC4C7D_6
312,A6CBDD_2,A1C857_1,AB55F2_3,AC575B_4
313,A6CEB8_1,A1C857_2,AB55F2_4,AC6F92_1
314,A6D3F2_2,A1C935_1,AB674D_1,AC70E9_2
315,A6D95B_1,A1C935_2,AB674D_2,AC7A58_1
316,A6D95B_4,A1D0A3_2,AB7D78_1,AC90BE_1
317,A6DC36_1,A1D122_3,AB7D78_2,AC94B7_1
318,A6DDB9_1,A1D13B_2,AB7D78_3,AC94B7_2
319,A6E480_1,A1D4F2_3,AB7D78_4,ACA2ED_1
320,A6E480_3,A1DC60_1,AB7E2A_1,ACB826_1
321,A6E480_4,A1DC60_2,AB7FF0_2,ACB826_3
322,A6EBEE_3,A1DC60_3,AB827D_1,ACD4DB_1
323,A6EC95_3,A1E60E_1,AB827D_2,ACED6E_1
324,A6F637_4,A1E71F_1,ABA58D_1,ACFD14_1
325,A6F713_2,A1F19B_1,ABA58D_2,ACFD14_4
326,A6F7BA_2,A1F19B_3,ABBE75_5,ADAF12_1
327,A6F9EE_1,A1F415_1,ABF599_1,ADD352_1
328,A6FB71_1,A1F471_3,ABFBAF_1,ADD3D1_1
329,A6FFFE_2,A20028_1,ABFBAF_2,
330,A7076C_2,A20028_2,AC34EF_1,
331,A71B82_1,A20028_3,AC34EF_2,
332,A71B82_4,A203C6_1,AC3B24_7,
333,A722E7_2,A203C6_2,AC4480_1,
334,A726FA_1,A20F1A_1,AC5802_1,
335,A72745_1,A20F1A_2,AC6FF5_1,
336,A727A5_1,A217E2_2,AC6FF5_10,
337,A727BE_1,A21B7D_1,AC6FF5_11,
338,A733C4_1,A21F15_1,AC6FF5_12,
339,A74D2B_2,A21FBB_1,AC6FF5_2,
340,A752B3_1,A22753_2,AC6FF5_3,
341,A752B3_3,A22EE9_1,AC6FF5_4,
342,A7566A_1,A22EE9_2,AC6FF5_5,
343,A7618F_1,A22EE9_3,AC6FF5_6,
344,A76622_3,A22EE9_4,AC6FF5_7,
345,A76622_4,A231FE_2,AC6FF5_8,
346,A76622_5,A23397_1,AC6FF5_9,
347,A76CB4_1,A23397_2,AC85EA_2,
348,A76E37_2,A23397_3,AC8920_1,
349,A77147_1,A23397_4,AC8920_2,
350,A7827C_4,A23397_5,AC9A00_1,
351,A7890E_2,A23397_6,AC9A00_2,
352,A78CC5_2,A23397_7,ACB60E_1,
353,A79CBD_2,A24031_4,ACB8D7_1,
354,A79CBD_4,A243E8_1,ACB8D7_2,
355,A7C045_1,A2479F_2,ACBCCC_1,
356,A7D395_2,A24A8E_1,ACD3FD_1,
357,A7D464_1,A24A8E_2,AD35ED_1,
358,A7D666_2,A24BF8_1,AD35ED_2,
359,A7D7AF_2,A252C4_1,AD35ED_3,
360,A7D7AF_5,A25565_1,AD35ED_4,
361,A7DB5B_1,A257BC_2,AD488B_1,
362,A7E666_1,A257BC_3,AD5149_1,
363,A7EEF7_1,A25E13_1,AD5149_4,
364,A7F040_4,A263F9_3,AD5B90_1,
365,A7F3A4_1,A27DD9_3,AD6DF0_1,
366,A8119C_1,A27DD9_4,AD81DB_1,
367,A813E9_1,A2995E_1,ADD139_1,
368,A8178B_1,A2995E_2,ADD139_2,
369,A81F1A_3,A2995E_3,,
370,A828D3_2,A2A64A_2,,
371,A83564_1,A2A64A_3,,
372,A880AB_1,A2ADDF_1,,
373,A88462_2,A2ADDF_4,,
374,A88D26_2,A2B9A8_4,,
375,A88D72_2,A2C14D_1,,
376,A8CFA9_1,A2CBDB_1,,
377,A8D717_1,A2CBDB_2,,
378,A90421_2,A2CBDB_3,,
379,A90C14_2,A2CBDB_4,,
380,A92615_1,A2CBDB_5,,
381,A92615_2,A2CBDB_6,,
382,A94D3F_1,A2E9DA_1,,
383,A95169_2,A2E9DA_2,,
384,A95C84_1,A2ED3F_1,,
385,A95C89_4,A2ED3F_2,,
386,A95C89_6,A31D4A_1,,
387,A95C89_8,A31D4A_2,,
388,A963F7_3,A32718_1,,
389,A967AE_2,A32718_2,,
390,A96823_2,A3282F_2,,
391,A972D3_2,A3282F_3,,
392,A972D3_4,A32C7C_2,,
393,A98382_1,A32ED8_1,,
394,A99A52_2,A335B4_2,,
395,A99A52_4,A33AC2_2,,
396,A99E09_2,A343C4_1,,
397,A9A1EB_2,A35365_3,,
398,A9AD10_1,A3571C_2,,
399,A9BB45_2,A3571C_5,,
400,A9C2B3_2,A35AD3_2,,
401,A9CA37_2,A369AF_3,,
402,A9CC7A_2,A36EA8_1,,
403,A9E67B_2,A36EA8_2,,
404,A9FF1E_3,A36EA8_3,,
405,AA02D5_3,A379C0_1,,
406,AA0381_3,A379C0_10,,
407,AA11B1_1,A379C0_11,,
408,AA1568_1,A379C0_2,,
409,AA1B9C_2,A379C0_3,,
410,AA1C1F_2,A379C0_4,,
411,AA2744_1,A379C0_5,,
412,AA4A65_1,A379C0_6,,
413,AA5D9F_3,A379C0_7,,
414,AA71E4_1,A379C0_8,,
415,AA80CA_1,A379C0_9,,
416,AA8477_3,A37F2A_3,,
417,AA84DC_3,A37F2A_4,,
418,AA882E_1,A38213_1,,
419,AA9963_3,A389DE_1,,
420,AA9C84_1,A389DE_2,,
421,AA9D1A_2,A389DE_3,,
422,AAA0D1_2,A390D6_2,,
423,AAAFAD_1,A39D11_1,,
424,AAB974_1,A39D11_3,,
425,AAB9C4_1,A39D11_4,,
426,AAC338_1,A39D11_5,,
427,AAC873_2,A39D11_6,,
428,AAD375_4,A39D11_7,,
429,AADA90_3,A39EAC_2,,
430,AADFE5_1,A3A237_1,,
431,AAE1F4_8,A3A474_2,,
432,AAE2A5_1,A3A53E_2,,
433,AAE371_3,A3A53E_5,,
434,AAF204_1,A3B4F6_2,,
435,AAF204_2,A3C9E2_1,,
436,AB0A26_1,A3CCBD_2,,
437,AB0A26_2,A3D0CE_1,,
438,AB1257_2,A3D190_1,,
439,AB2AE2_1,A3D74F_1,,
440,AB2AE2_5,A3D74F_2,,
441,AB2AE2_7,A3DB0F_1,,
442,AB318C_4,A3DB0F_2,,
443,AB400E_2,A3E616_1,,
444,AB4BB5_2,A3E6B1_3,,
445,AB76EB_1,A3EC41_1,,
446,AB7AA2_2,A3ECCE_2,,
447,AB7AA2_3,A3F40C_1,,
448,AB7E2A_3,A3F40C_3,,
449,AB7FF0_10,A3F43C_2,,
450,AB7FF0_6,A3F6DB_1,,
451,AB7FF0_8,A3F6DB_2,,
452,AB8820_1,A3F6DB_3,,
453,AB8820_2,A3FF61_2,,
454,AB8BD7_1,A4003D_1,,
455,AB8EE9_2,A40460_2,,
456,AB9345_1,A41096_2,,
457,AB9345_2,A41096_3,,
458,AB9AB3_1,A417F3_1,,
459,AB9AB3_2,A427BC_3,,
460,AB9AB3_4,A44854_2,,
461,AB9E5A_2,A452F2_3,,
462,ABAB4F_1,A4694A_1,,
463,ABABCF_1,A47303_2,,
464,ABBAB6_2,A47313_1,,
465,ABBE75_4,A47313_2,,
466,ABCCD8_2,A47313_3,,
467,AC0041_6,A4A1A9_1,,
468,AC2AB8_2,A4B205_1,,
469,AC2C49_7,A4B205_10,,
470,AC3078_1,A4B205_11,,
471,AC3B24_1,A4B205_12,,
472,AC3B24_3,A4B205_13,,
473,AC3B24_6,A4B205_14,,
474,AC4C7D_3,A4B205_15,,
475,AC4C7D_5,A4B205_16,,
476,AC575B_1,A4B205_17,,
477,AC575B_3,A4B205_18,,
478,AC575B_7,A4B205_19,,
479,AC61F8_1,A4B205_2,,
480,AC623C_5,A4B205_20,,
481,AC623C_7,A4B205_21,,
482,AC70E9_1,A4B205_22,,
483,AC90BE_2,A4B205_23,,
484,AC9773_1,A4B205_24,,
485,ACA287_1,A4B205_25,,
486,ACA2ED_4,A4B205_3,,
487,ACB826_2,A4B205_4,,
488,ACFD14_3,A4B205_5,,
489,AD488B_2,A4B205_6,,
490,AD5658_3,A4B205_7,,
491,AD81DB_2,A4B205_8,,
